receive_time_ns,parse_ok,error,source_topic,source_stamp_sec,unity_update_time_sec,latency_ms,joint_count,raw_data
1783590612526328691,True,,/joint_states,1783590612.46858,1783590612.481,12.418,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590612.468580000,""unity_update_time_sec"":1783590612.481,""latency_ms"":12.418,""joint_count"":9}"
1783590612633223486,True,,/joint_states,1783590612.57093,1783590612.581,10.067,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590612.570930000,""unity_update_time_sec"":1783590612.581,""latency_ms"":10.067,""joint_count"":9}"
1783590612726953164,True,,/joint_states,1783590612.66925,1783590612.682,12.753,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590612.669250000,""unity_update_time_sec"":1783590612.682,""latency_ms"":12.753,""joint_count"":9}"
1783590612830012231,True,,/joint_states,1783590612.77154,1783590612.782,10.463,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590612.771540000,""unity_update_time_sec"":1783590612.782,""latency_ms"":10.463,""joint_count"":9}"
1783590612925610530,True,,/joint_states,1783590612.87017,1783590612.881,10.831,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590612.870170000,""unity_update_time_sec"":1783590612.881,""latency_ms"":10.831,""joint_count"":9}"
1783590613034499112,True,,/joint_states,1783590612.9683,1783590612.992,23.7,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590612.968300000,""unity_update_time_sec"":1783590612.992,""latency_ms"":23.700,""joint_count"":9}"
1783590613129618358,True,,/joint_states,1783590613.07061,1783590613.09,19.392,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.070610000,""unity_update_time_sec"":1783590613.090,""latency_ms"":19.392,""joint_count"":9}"
1783590613226306431,True,,/joint_states,1783590613.16899,1783590613.184,15.014,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.168990000,""unity_update_time_sec"":1783590613.184,""latency_ms"":15.014,""joint_count"":9}"
1783590613325581558,True,,/joint_states,1783590613.27132,1783590613.282,10.678,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.271320000,""unity_update_time_sec"":1783590613.282,""latency_ms"":10.678,""joint_count"":9}"
1783590613426646258,True,,/joint_states,1783590613.36984,1783590613.381,11.158,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.369840000,""unity_update_time_sec"":1783590613.381,""latency_ms"":11.158,""joint_count"":9}"
1783590613533332810,True,,/joint_states,1783590613.47203,1783590613.481,8.973,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.472030000,""unity_update_time_sec"":1783590613.481,""latency_ms"":8.973,""joint_count"":9}"
1783590613655823924,True,,/joint_states,1783590613.57037,1783590613.592,21.628,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.570370000,""unity_update_time_sec"":1783590613.592,""latency_ms"":21.628,""joint_count"":9}"
1783590613721419077,True,,/joint_states,1783590613.66884,1783590613.682,13.16,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.668840000,""unity_update_time_sec"":1783590613.682,""latency_ms"":13.160,""joint_count"":9}"
1783590613844859971,True,,/joint_states,1783590613.77108,1783590613.799,27.919,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.771080000,""unity_update_time_sec"":1783590613.799,""latency_ms"":27.919,""joint_count"":9}"
1783590613942957770,True,,/joint_states,1783590613.86948,1783590613.882,12.518,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.869480000,""unity_update_time_sec"":1783590613.882,""latency_ms"":12.518,""joint_count"":9}"
1783590614028081802,True,,/joint_states,1783590613.97168,1783590613.981,9.324,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590613.971680000,""unity_update_time_sec"":1783590613.981,""latency_ms"":9.324,""joint_count"":9}"
1783590614130402057,True,,/joint_states,1783590614.07012,1783590614.083,12.881,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.070120000,""unity_update_time_sec"":1783590614.083,""latency_ms"":12.881,""joint_count"":9}"
1783590614232796172,True,,/joint_states,1783590614.17232,1783590614.183,10.681,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.172320000,""unity_update_time_sec"":1783590614.183,""latency_ms"":10.681,""joint_count"":9}"
1783590614336861886,True,,/joint_states,1783590614.27081,1783590614.282,11.189,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.270810000,""unity_update_time_sec"":1783590614.282,""latency_ms"":11.189,""joint_count"":9}"
1783590614425619755,True,,/joint_states,1783590614.37306,1783590614.381,7.939,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.373060000,""unity_update_time_sec"":1783590614.381,""latency_ms"":7.939,""joint_count"":9}"
1783590614541693827,True,,/joint_states,1783590614.47139,1783590614.5,28.606,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.471390000,""unity_update_time_sec"":1783590614.500,""latency_ms"":28.606,""joint_count"":9}"
1783590614625943612,True,,/joint_states,1783590614.56977,1783590614.582,12.226,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.569770000,""unity_update_time_sec"":1783590614.582,""latency_ms"":12.226,""joint_count"":9}"
1783590614725564611,True,,/joint_states,1783590614.67211,1783590614.681,8.89,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.672110000,""unity_update_time_sec"":1783590614.681,""latency_ms"":8.890,""joint_count"":9}"
1783590614824991825,True,,/joint_states,1783590614.7705,1783590614.783,12.501,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.770500000,""unity_update_time_sec"":1783590614.783,""latency_ms"":12.501,""joint_count"":9}"
1783590614934210509,True,,/joint_states,1783590614.87266,1783590614.88,7.342,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.872660000,""unity_update_time_sec"":1783590614.880,""latency_ms"":7.342,""joint_count"":9}"
1783590615026181873,True,,/joint_states,1783590614.97121,1783590614.981,9.786,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590614.971210000,""unity_update_time_sec"":1783590614.981,""latency_ms"":9.786,""joint_count"":9}"
1783590615130526533,True,,/joint_states,1783590615.06948,1783590615.08,10.519,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.069480000,""unity_update_time_sec"":1783590615.080,""latency_ms"":10.519,""joint_count"":9}"
1783590615234464948,True,,/joint_states,1783590615.17183,1783590615.18,8.174,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.171830000,""unity_update_time_sec"":1783590615.180,""latency_ms"":8.174,""joint_count"":9}"
1783590615326352705,True,,/joint_states,1783590615.27014,1783590615.281,10.862,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.270140000,""unity_update_time_sec"":1783590615.281,""latency_ms"":10.862,""joint_count"":9}"
1783590615441732559,True,,/joint_states,1783590615.37243,1783590615.39,17.566,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.372430000,""unity_update_time_sec"":1783590615.390,""latency_ms"":17.566,""joint_count"":9}"
1783590615532447356,True,,/joint_states,1783590615.47086,1783590615.489,18.136,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.470860000,""unity_update_time_sec"":1783590615.489,""latency_ms"":18.136,""joint_count"":9}"
1783590615650083481,True,,/joint_states,1783590615.57304,1783590615.597,23.962,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.573040000,""unity_update_time_sec"":1783590615.597,""latency_ms"":23.962,""joint_count"":9}"
1783590615774332788,True,,/joint_states,1783590615.67151,1783590615.681,9.491,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.671510000,""unity_update_time_sec"":1783590615.681,""latency_ms"":9.491,""joint_count"":9}"
1783590615882225283,True,,/joint_states,1783590615.77384,1783590615.788,14.161,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590615.773840000,""unity_update_time_sec"":1783590615.788,""latency_ms"":14.161,""joint_count"":9}"
