time_ns,joint_name,hardware_position,ros_position,error
1783426740935553150,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426740935553150,cylinder_to_arm1_joint,-0.11693705655466871,-0.11693705655466871,0.0
1783426740935553150,arm_link1_to_arm2_joint,-0.13532329686482747,-0.13532329686482747,0.0
1783426740935553150,arm_link2_to_arm3_joint,-0.13532329686482747,-0.13532329686482747,0.0
1783426740935553150,arm_link3_to_arm4_joint,-0.13532329686482747,-0.13532329686482747,0.0
1783426740935553150,arm_link4_to_armFork_joint,0.219390349074612,0.219390349074612,0.0
1783426740935553150,basket_link_to_armFork_joint,0.008236225145233556,0.00828682520594506,5.060006071150487e-05
1783426740935553150,basket_crane_link_to_basket_link,,0.0,
1783426740935553150,winch_link_to_basket_crane_link,-6.678737640380859,-6.6787261962890625,1.1444091796875e-05
1783426741035532912,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426741035532912,cylinder_to_arm1_joint,-0.11693705655466871,-0.11693705655466871,0.0
1783426741035532912,arm_link1_to_arm2_joint,-0.13835359700520833,-0.13835359700520833,0.0
1783426741035532912,arm_link2_to_arm3_joint,-0.13835359700520833,-0.13835359700520833,0.0
1783426741035532912,arm_link3_to_arm4_joint,-0.13835359700520833,-0.13835359700520833,0.0
1783426741035532912,arm_link4_to_armFork_joint,0.219390349074612,0.219390349074612,0.0
1783426741035532912,basket_link_to_armFork_joint,0.007983091683621525,0.007983091683621525,0.0
1783426741035532912,basket_crane_link_to_basket_link,,0.0,
1783426741035532912,winch_link_to_basket_crane_link,-6.678741455078125,-6.678741455078125,0.0
1783426741135537822,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426741135537822,cylinder_to_arm1_joint,-0.11693705655466871,-0.11693705655466871,0.0
1783426741135537822,arm_link1_to_arm2_joint,-0.1413838971455892,-0.1413838971455892,0.0
1783426741135537822,arm_link2_to_arm3_joint,-0.1413838971455892,-0.1413838971455892,0.0
1783426741135537822,arm_link3_to_arm4_joint,-0.1413838971455892,-0.1413838971455892,0.0
1783426741135537822,arm_link4_to_armFork_joint,0.219390349074612,0.219390349074612,0.0
1783426741135537822,basket_link_to_armFork_joint,0.007983091683621525,0.007983091683621525,0.0
1783426741135537822,basket_crane_link_to_basket_link,,0.0,
1783426741135537822,winch_link_to_basket_crane_link,-6.6787261962890625,-6.678730010986328,-3.814697265625e-06
1783426741235536851,base_to_cylinder_joint,-0.008726645739822998,-0.008726645739822998,0.0
1783426741235536851,cylinder_to_arm1_joint,-0.11868238414218736,-0.11868238414218736,0.0
1783426741235536851,arm_link1_to_arm2_joint,-0.14441419728597005,-0.14441419728597005,0.0
1783426741235536851,arm_link2_to_arm3_joint,-0.14441419728597005,-0.14441419728597005,0.0
