sample_time_ns,tf_time_ns,tf_age_ms,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw
1783426740135765122,,,base_link,winch_link,,,,,,,
1783426740235552853,,,base_link,winch_link,,,,,,,
1783426740335646640,1.7834267403219133e+18,13.73341,base_link,winch_link,6.69803482483354,-0.07359531106143047,-4.244232808336214,-4.580098811510599e-05,0.0012273841987901937,-0.0046983292404607834,0.9999882084968034
1783426740435562423,1.783426740420208e+18,15.3542,base_link,winch_link,6.712048306738388,-0.07459851322429586,-4.221734674571719,-4.7359402718031684e-05,0.001227395728501085,-0.004850348230915486,0.9999874826110832
1783426740535538288,1.7834267405225457e+18,12.992655,base_link,winch_link,6.727989431088063,-0.07599098847494051,-4.209007017031881,-4.8324721728514694e-05,0.0012273939978725197,-0.005078224226545167,0.9999863513105567
1783426740635630342,1.7834267406210798e+18,14.550592,base_link,winch_link,6.739950477499844,-0.07621495751460432,-4.207028833504276,-4.8324721728514694e-05,0.0012273939978725197,-0.005078224226545167,0.9999863513105567
1783426740735543480,1.783426740719492e+18,16.051354,base_link,winch_link,6.752887367283488,-0.07489863491218923,-4.194681538433607,-4.8606510734335116e-05,0.001227419139771143,-0.004749374793775218,0.999987967186971
1783426740835538210,1.783426740821677e+18,13.861081,base_link,winch_link,6.7657929119528815,-0.07466692153711263,-4.182298397016787,-4.916765619937813e-05,0.0012274334301600103,-0.004648290381658856,0.9999884421263298
1783426740935553150,1.783426740920173e+18,15.380021,base_link,winch_link,6.778666324133591,-0.07576056050051037,-4.169894641077511,-5.007019558269329e-05,0.0012274339569071841,-0.004825504185153406,0.9999876026272606
1783426741035532912,1.783426740920173e+18,115.359783,base_link,winch_link,6.778666324133591,-0.07576056050051037,-4.169894641077511,-5.007019558269329e-05,0.0012274339569071841,-0.004825504185153406,0.9999876026272606
1783426741135537822,1.7834267410220787e+18,113.459124,base_link,winch_link,6.787625182309698,-0.07665188286754404,-4.1683992567912,-5.025660142413703e-05,0.0012274263387543006,-0.00497736900733618,0.9999868582619583
1783426741235536851,1.7834267412232381e+18,12.298787,base_link,winch_link,6.8064554749992245,-0.07580755012075847,-4.1548620494724045,-5.063093637282626e-05,0.0012274483379065427,-0.0047244222013447515,0.999988085249994
1783426741335566868,1.7834267413216003e+18,13.966711,base_link,winch_link,6.815418277343328,-0.07549321723040121,-4.153328256512201,-5.050671819292298e-05,0.0012274534554780172,-0.004623223261676238,0.9999885582414224
1783426741435532324,1.7834267414200763e+18,15.456029,base_link,winch_link,6.822263533198087,-0.07623290607722637,-4.141835575614341,-5.134674351535399e-05,0.0012274563566097671,-0.004749840031654328,0.999987964794616
1783426741535551871,1.7834267415223078e+18,13.244119,base_link,winch_link,6.828229945613732,-0.07730927500185145,-4.140819017510535,-5.159526164873993e-05,0.0012274459354394214,-0.004952304318059826,0.9999869826134468
1783426741635648664,1.7834267416207997e+18,14.848987,base_link,winch_link,6.835054693244941,-0.07744587653055882,-4.1292554164708095,-5.2279812304459915e-05,0.0012274550941318249,-0.004952423616448403,0.9999869819758337
1783426741735540371,1.7834267417229276e+18,12.612738,base_link,winch_link,6.841028686751102,-0.07683417514979227,-4.128205724846348,-5.2093402072675275e-05,0.0012274630195428353,-0.004800558775765401,0.9999877225527589
1783426741835543768,1.7834267418217533e+18,13.790538,base_link,winch_link,6.847832187562647,-0.07648821914702814,-4.116601861397465,-5.265351821093248e-05,0.0012274776141483269,-0.004699480365061057,0.9999882026357172
1783426741935604172,1.7834267419234947e+18,12.109512,base_link,winch_link,6.853800266291252,-0.07659997504526937,-4.115572190787964,-5.265351821093248e-05,0.0012274776141483269,-0.004699480365061057,0.9999882026357172
1783426742035536515,1.7834267420219625e+18,13.574094,base_link,winch_link,6.863555137423782,-0.07775610029239124,-4.103444050868319,-5.358616698258046e-05,0.001227476116037814,-0.004902066387476554,0.9999872300064837
1783426742135573746,1.7834267421242545e+18,11.319377,base_link,winch_link,6.869520773186593,-0.07798834738200247,-4.102373433081969,-5.361722214843404e-05,0.0012274747599133166,-0.0049273660931793365,0.9999871056640136
1783426742235540855,1.7834267422226094e+18,12.931476,base_link,winch_link,6.879257126194958,-0.07781753891210944,-4.090156607161672,-5.4207887309497935e-05,0.0012274880489176387,-0.004851523269264759,0.9999874764498616
1783426742335535375,1.7834267423210511e+18,14.484311,base_link,winch_link,6.888207659698752,-0.07726189336730954,-4.08854469619459,-5.402155377625857e-05,0.001227496263542095,-0.004699724932892725,0.9999882013904714
1783426742435529985,1.783426742423324e+18,12.206194,base_link,winch_link,6.9008962374255045,-0.07750831705836478,-4.07578541168942,-5.4705249362887183e-05,0.0012275055838467644,-0.004699849007330979,0.9999882007587317
1783426742535575802,1.78342674252174e+18,13.835779,base_link,winch_link,6.912816776679171,-0.07857563562460664,-4.073636793994091,-5.492272172907e-05,0.0012274958726287693,-0.004877013633728298,0.9999873524077161
1783426742635579329,1.7834267426242097e+18,11.369608,base_link,winch_link,6.925473478131023,-0.07918308699905105,-4.060790770725912,-5.569937222606344e-05,0.0012275008448697237,-0.0049530380187724305,0.999986978692043
1783426742735534384,1.7834267427223857e+18,13.148635,base_link,winch_link,6.938107354211417,-0.07918740661046024,-4.047886722403645,-5.6320520764007955e-05,0.0012275128376967729,-0.004902565070907287,0.9999872273664088
1783426742835540707,1.7834267428207345e+18,14.806288,base_link,winch_link,6.950029479923031,-0.07856654405139782,-4.045666156550493,-5.610304537025406e-05,0.0012275227965580415,-0.004725400466261952,0.9999880802442925
1783426742935539805,1.7834267429229804e+18,12.559423,base_link,winch_link,6.962632345211876,-0.07869083174345133,-4.0327175366179935,-5.6755025605288493e-05,0.0012275335268953664,-0.004700228388797166,0.9999881988270665
1783426743035560976,1.7834267430215555e+18,14.005453,base_link,winch_link,6.977520452797644,-0.07969286254445788,-4.029966170160717,-5.694136476363335e-05,0.0012275248973289605,-0.004852026724774191,0.9999874738100321
1783426743135598517,1.783426743123742e+18,11.856674,base_link,winch_link,6.989432059404807,-0.08027785048438277,-4.027747554176421,-5.703461557813579e-05,0.0012275205681411068,-0.00492799242922239,0.9999871023322875
1783426743235563711,1.783426743222074e+18,13.489586,base_link,winch_link,7.0019990474345715,-0.08052200875423766,-4.014694102185054,-5.7717430479078284e-05,0.001227529720889002,-0.004928121273923365,0.9999871016469123
1783426743335582026,1.78342674332425e+18,11.332024,base_link,winch_link,7.0109378873153965,-0.07948366306337605,-4.013004226705571,-5.74067815144421e-05,0.001227544287951791,-0.0046750575003803455,0.9999883167701764
1783426743435533585,1.7834267434227095e+18,12.824079,base_link,winch_link,7.022847636485547,-0.07970667445992417,-4.01075722976607,-5.74067815144421e-05,0.001227544287951791,-0.0046750575003803455,0.9999883167701764
1783426743535560045,1.783426743524964e+18,10.596063,base_link,winch_link,7.0324011384609,-0.08061765743778772,-3.9982210340106534,-5.827571037057668e-05,0.00122754477829198,-0.004826985890950978,0.9999875948955403
1783426743635559695,1.783426743623396e+18,12.163578,base_link,winch_link,7.041328023582359,-0.081146755185303,-3.9965231036150266,-5.8368962691532754e-05,0.0012275403477382818,-0.004902951604669773,0.9999872253200643
1783426743735551760,1.7834267437218396e+18,13.712214,base_link,winch_link,7.047881603093332,-0.08127832111458484,-3.984491360679058,-5.9051323483446804e-05,0.0012275495116659627,-0.004903082832250392,0.9999872246253337
1783426743835535900,1.7834267438241178e+18,11.418245,base_link,winch_link,7.056813052590982,-0.08060145928790126,-3.9827701807641467,-5.8833841549389565e-05,0.0012275599543342193,-0.004725918228082861,0.9999880775949476
1783426743935529749,1.783426743922657e+18,12.872805,base_link,winch_link,7.0627639811871665,-0.08071289080168804,-3.981623991785543,-5.8833841549389565e-05,0.0012275599543342193,-0.004725918228082861,0.9999880775949476
1783426744035542372,1.7834267440248632e+18,10.679177,base_link,winch_link,7.069288909911044,-0.08096446483329452,-3.969544460234362,-5.954702817067e-05,0.0012275677298743258,-0.004751350373804915,0.9999879570281062
1783426744135537203,1.7834267441231962e+18,12.341138,base_link,winch_link,7.0752345237752925,-0.08167882086580769,-3.9684030708033515,-5.970239692774237e-05,0.0012275601833693652,-0.004877915541977215,0.9999873476557518
1783426744235666476,1.7834267442214753e+18,14.191238,base_link,winch_link,7.081734970231123,-0.08180939921032063,-3.956287546959779,-6.038429854709742e-05,0.0012275693583857306,-0.004878049151479188,0.9999873469517915
1783426744335565566,1.7834267443237112e+18,11.854422,base_link,winch_link,7.08768385957103,-0.08155885237696472,-3.955120632928932,-6.0291044016505063e-05,0.0012275739420376955,-0.004802083428592209,0.9999877146355107
1783426744435534548,1.7834267444256878e+18,9.846746,base_link,winch_link,7.09363206529779,-0.08142915075077972,-3.953949889363656,-6.022892862335104e-05,0.0012275769911966588,-0.0047514839833948915,0.9999879563410563
1783426744535562590,1.783426744524063e+18,11.499531,base_link,winch_link,7.10307766466924,-0.08161488194368001,-3.9412090570194307,-6.0910588362663194e-05,0.0012275862492496853,-0.004751618781728343,0.9999879556478938
1783426744635561258,1.7834267446225068e+18,13.054409,base_link,winch_link,7.114964085438399,-0.08244047997936443,-3.938869566202213,-6.106595945272174e-05,0.0012275785301632358,-0.004878183949723732,0.9999873462415679
1783426744735664132,1.7834267447246753e+18,10.988754,base_link,winch_link,7.124379560538914,-0.08274619280653281,-3.926079643091906,-6.177844855603234e-05,0.0012275861362452348,-0.004903619647505655,0.9999872217833856
1783426744835560076,1.783426744822992e+18,12.568295,base_link,winch_link,7.136741970082284,-0.08274515015147857,-3.9126568390089953,-6.239744333016711e-05,0.001227598447534013,-0.004853090827301083,0.9999874682304937
1783426744935561518,1.7834267449258163e+18,9.745157,base_link,winch_link,7.148625385059089,-0.08260604630675422,-3.9102683429365843,-6.230426831655858e-05,0.0012276031799696508,-0.004777191673490246,0.9999878337001532
1783426745035536481,1.7834267450242604e+18,11.276108,base_link,winch_link,7.160506845233851,-0.08282852795090079,-3.907875986539634,-6.230426831655858e-05,0.0012276031799696508,-0.004777191673490246,0.9999878337001532
1783426745135532283,1.783426745122546e+18,12.986483,base_link,winch_link,7.172831250409292,-0.083188718235539,-3.894373288927348,-6.301627181283543e-05,0.0012276108171620326,-0.004802629760386205,0.9999877117985079
1783426745235543163,1.783426745225073e+18,10.470255,base_link,winch_link,7.1847071994729115,-0.08365217917046261,-3.8919639795351775,-6.307838891402498e-05,0.00122760762696329,-0.0048532291931440855,0.9999874675049832
1783426745335552851,1.783426745323362e+18,12.19086,base_link,winch_link,7.199553789685252,-0.08393018334562549,-3.8889485665707557,-6.307838891402498e-05,0.00122760762696329,-0.0048532291931440855,0.9999874675049832
1783426745435795558,1.7834267454255352e+18,10.26028,base_link,winch_link,7.21184415321032,-0.08368703520733264,-3.8753531588281716,-6.363486318159106e-05,0.001227623249353105,-0.004752169870932626,0.9999879528140725
1783426745535545156,1.7834267455240274e+18,11.517758,base_link,winch_link,7.2237171861658815,-0.08390936027286228,-3.8729269651205622,-6.363486318159106e-05,0.001227623249353105,-0.004752169870932626,0.9999879528140725
1783426745635552960,1.7834267456263153e+18,9.237703,base_link,winch_link,7.235972045736343,-0.08426825456085132,-3.859264898285757,-6.434637985452766e-05,0.0012276308635060947,-0.0047776103371513345,0.9999878315367006
1783426745735535938,1.7834267457246287e+18,10.907263,base_link,winch_link,7.247838855742356,-0.08485208580852105,-3.8568179352916134,-6.443955696343685e-05,0.0012276259760739335,-0.004853509490796718,0.9999874660352644
1783426745835539845,1.7834267458268646e+18,8.675128,base_link,winch_link,7.257095797000986,-0.08503430667937897,-3.8437108349661147,-6.511977527807878e-05,0.0012276351456993013,-0.004853651421775133,0.9999874652910604
1783426745935631788,1.783426745925236e+18,10.39586,base_link,winch_link,7.265995470325558,-0.0849598732348611,-3.8418610973055314,-6.505765678183638e-05,0.0012276384391922883,-0.0048030519891286904,0.99998770960595
1783426746035536458,1.7834267460233134e+18,12.222935,base_link,winch_link,7.275223675071165,-0.08502101952994265,-3.8287106273318976,-6.570656635411713e-05,0.0012276493026421576,-0.00477789538630491,0.9999878300637035
1783426746135536678,1.7834267461255608e+18,9.975789,base_link,winch_link,7.281153763618034,-0.08513206075849696,-3.8274607362256963,-6.570656635411713e-05,0.0012276493026421576,-0.00477789538630491,0.9999878300637035
1783426746235650622,1.7834267462239662e+18,11.6844,base_link,winch_link,7.290351592261663,-0.08555426439747102,-3.8142683630125576,-6.64483974613778e-05,0.0012276551563150803,-0.0048286391284264206,0.9999875862687472
1783426746335556034,1.7834267463262134e+18,9.342689,base_link,winch_link,7.296561533566123,-0.08567944203134338,-3.80168155715147,-6.712786313107163e-05,0.001227664332988124,-0.004828784619354209,0.9999875855095579
1783426746435656813,1.783426746424674e+18,10.982724,base_link,winch_link,7.29952439003404,-0.08573492135225463,-3.8010443563271488,-6.712786313107163e-05,0.001227664332988124,-0.004828784619354209,0.9999875855095579
1783426746535548068,1.7834267465229827e+18,12.565456,base_link,winch_link,7.305452030820591,-0.08548429491379873,-3.799777633088171,-6.703468310313025e-05,0.0012276694244628553,-0.004752885456711937,0.9999879491343737
1783426746635637526,1.7834267466253545e+18,10.282954,base_link,winch_link,7.314596187089482,-0.08566441909912428,-3.7865118872072046,-6.771388665287977e-05,0.0012276786491568325,-0.004753032132057819,0.999987948380137
1783426746735560470,1.7834267467237404e+18,11.819991,base_link,winch_link,7.32051837003228,-0.08601639448837511,-3.7852347398187094,-6.777600718034792e-05,0.00122767522125842,-0.004803631576850195,0.999987706596255
1783426746835553376,1.7834267468259924e+18,9.560955,base_link,winch_link,7.3296331164057795,-0.08631651256447351,-3.7719270803830067,-6.848602109098117e-05,0.0012276826758891913,-0.004829079156643149,0.9999875839726267
1783426746935563775,1.783426746924618e+18,10.945904,base_link,winch_link,7.3387218981090365,-0.08649560712405391,-3.7585880436359136,-6.916471572023799e-05,0.0012276918421487853,-0.004829228203511512,0.9999875831948821
1783426747035553165,1.7834267470270671e+18,8.486061,base_link,winch_link,7.344643463142543,-0.08612432625254957,-3.7572903238630078,-6.904047280275963e-05,0.0012276988353397296,-0.004728029314114284,0.9999880667926931
1783426747135550369,1.783426747125206e+18,10.34426,base_link,winch_link,7.356481425852296,-0.08634599400569234,-3.754694749679441,-6.904047280275963e-05,0.0012276988353397296,-0.004728029314114284,0.9999880667926931
1783426747235536081,1.7834267472275062e+18,8.029782,base_link,winch_link,7.3655360467724895,-0.0866449930244866,-3.741293473147861,-6.974995991117604e-05,0.0012277063023585606,-0.004753479270947988,0.9999879460808511
1783426747335605762,1.7834267473259264e+18,9.679324,base_link,winch_link,7.37736618485987,-0.08746953599491686,-3.73867715315804,-6.990534612518205e-05,0.0012276974645007675,-0.004880044437717547,0.9999873364390492
1783426747435557360,1.7834267474242575e+18,11.299889,base_link,winch_link,7.386384465161936,-0.0886116488800212,-3.725223715601076,-7.083200351724596e-05,0.001227692278049977,-0.005082593431140024,0.9999863274057857
1783426747535544294,1.7834267475261768e+18,9.367625,base_link,winch_link,7.398209622932082,-0.08943610373690221,-3.7225867409091036,-7.098738794757949e-05,0.0012276833032415831,-0.005209158390403065,0.9999856761090937
1783426747635574390,1.783426747624806e+18,10.768618,base_link,winch_link,7.404235568559181,-0.09112522787054755,-3.709745841978073,-7.20691561956245e-05,0.001227668559452299,-0.005538272960829732,0.999983907454793
1783426747735551857,1.7834267477269908e+18,8.560948,base_link,winch_link,7.410523806378676,-0.052435419472196876,-3.7084170757496433,-7.528293412853574e-05,0.0012274756759184397,-0.002920305380240874,0.9999949797136138
1783426747835577415,1.7834267478255388e+18,10.038652,base_link,winch_link,7.419473123636711,-0.03948515529407413,-3.7064239441691487,-7.632302634241522e-05,0.0012274114431568475,-0.002022344227239249,0.9999971988759625
1783426747935654138,1.7834267479279145e+18,7.739572,base_link,winch_link,7.428545788957291,-0.00178882305400325,-3.692866826884941,-8.049331686068738e-05,0.0012271936713600577,0.0003677256643684756,0.999999176146838
1783426748035573385,1.783426748026445e+18,9.128334,base_link,winch_link,7.434434155293045,0.037090280859829586,-3.6799534765165167,-8.438324760564445e-05,0.0012269813548201301,0.0029855580128345426,0.999994786906199
1783426748135556102,1.7834267481285376e+18,7.018405,base_link,winch_link,7.4430006753822155,0.07605135056100956,-3.6779293781191322,-8.759518424350128e-05,0.0012267562354641057,0.0056035248650382775,0.9999835438172516
1783426748235559618,1.7834267482269604e+18,8.599297,base_link,winch_link,7.451338049667967,0.11630850270754718,-3.675905355014369,-9.049612501227134e-05,0.0012265456489305672,0.008474510923639171,0.9999633343582292
1783426748335543046,1.7834267483253565e+18,10.186595,base_link,winch_link,7.4562453885164235,0.1686619770477831,-3.6745559921856903,-9.471496968563282e-05,0.0012262270801406266,0.012015578899221982,0.9999270539694078
1783426748435570817,1.7834267484276122e+18,7.958754,base_link,winch_link,7.460839774318297,0.22059975667799275,-3.6615807474859983,-9.973388346299752e-05,0.001225878499040015,0.01545515218598801,0.9998798055496301
1783426748535535700,1.7834267485260419e+18,9.493805,base_link,winch_link,7.46504198131342,0.27272959173944,-3.648584744816105,-0.00010472023641712633,0.001225512401856568,0.018919837938698,0.9998202472871803
1783426748635542712,1.7834267486281423e+18,7.400414,base_link,winch_link,7.468855721584578,0.3250574685254526,-3.6472147297217488,-0.0001089974334961136,0.0012251393939102491,0.022409745385690738,0.9997481135089846
1783426748735536820,1.7834267487266156e+18,8.921182,base_link,winch_link,7.471625261871605,0.3906132708730017,-3.6458447330277832,-0.00011431107423868564,0.0012246550344182441,0.02679703322156595,0.9996401383315634
1783426748835540877,1.7834267488292444e+18,6.29644,base_link,winch_link,7.471663487933441,0.4429209911787129,-3.645159833270935,-0.00011858522266442195,0.0012242485531889279,0.030286266060306336,0.9995405090546102
