timestamp,pos_err_m,yaw_err_deg,pass
1754915605.21122,0.05227820525447913,0.024235138355351498,1
1754915605.230938,0.06056553636434345,0.024235138355351498,1
1754915605.395835,0.04346922324037828,0.024248798733742413,1
1754915605.410899,0.04893880664866673,0.02424879873372969,1
1754915605.6047792,0.041414544720248414,0.013450269656028585,1
1754915605.6109748,0.049704485413420645,0.013450269656003142,1
1754915605.825568,0.049624526557604125,0.019167137991354704,1
1754915605.8309915,0.0578695058768397,0.01916713799134198,1
1754915606.0598013,0.06631782300807963,0.028579138667657718,1
1754915606.0711792,0.07458589876278074,0.02857913866767044,1
1754915606.1967146,0.03678452438841975,0.014604571625837073,1
1754915606.2109027,0.045015146920865445,0.01460457162581163,1
1754915606.4006763,0.044232981864335795,0.020580987149623677,1
1754915606.411202,0.052468891286078734,0.020580987149623677,1
1754915606.597361,0.04498894031081661,0.02868159150520791,1
1754915606.6120133,0.0504938731929423,0.028681591505233354,1
1754915606.8655958,0.06855671495344133,0.042574196278260625,1
1754915606.8749282,0.07685060154562061,0.04257419627823518,1
1754915607.0182943,0.05034859003061914,0.04226000757507876,1
1754915607.031008,0.058621703725929994,0.042260007575091484,1
1754915607.2166119,0.05391680910708319,0.037403743075212416,1
1754915607.23177,0.062354128495779995,0.03740374307519969,1
1754915607.4142003,0.048253927169118756,0.01780793034780711,1
1754915607.4309812,0.056558022535903384,0.017807930347794387,1
1754915607.6392303,0.05964968069694571,0.0266120441864396,1
1754915607.6509643,0.06793833126781053,0.026612044186452324,1
1754915607.8117075,0.0447095619034415,0.025546534677253444,1
1754915607.813508,0.05295492792087032,0.02554653467721528,1
1754915608.00112,0.039906485180965436,0.03355834657361479,1
1754915608.011269,0.05146230485198332,0.033558346573589345,1
1754915608.2848535,0.07556608670641139,0.023654572276943637,1
1754915608.2908962,0.004154121609751286,0.023654572276930914,1
1754915608.413075,0.05159138082734472,0.031195101120650433,1
1754915608.43089,0.05986770212025881,0.03119510112063771,1
1754915608.6004903,0.04539411975249121,0.042464913251107864,1
1754915608.6109118,0.05364312699918266,0.04246491325112058,1
1754915608.8058515,0.04093819394130537,0.03892004507178219,1
1754915608.810896,0.04919805451697769,0.03892004507179491,1
1754915609.0044353,0.03859018566258044,0.027035515915934557,1
1754915609.010907,0.04771052236590719,0.027035515915921834,1
1754915609.2047396,0.0456957449601488,0.03243819554936375,1
1754915609.2113347,0.05405589119160286,0.03243819554936375,1
1754915609.4099483,0.043577867368651546,0.03229476157676804,1
1754915609.4118102,0.049099711932697694,0.03229476157675532,1
1754915609.6410847,0.06353902705882689,0.04825691366703695,1
1754915609.6508675,0.06948270505578841,0.04825691366702423,1
1754915609.8305857,0.049549972483860394,0.007583137159585577,1
1754915609.8308523,0.059304474333339526,0.007583137159585577,1
1754915610.0050967,0.042831761873743913,0.041570158469556306,1
1754915610.0109386,0.051102489611858454,0.041570158469556306,1
1754915610.2074652,0.039629006746502535,0.024515176111983575,1
1754915610.2108686,0.04788687927197538,0.024515176111970852,1
