receive_time_ns,header_stamp_sec,frame_id,joint_count,joint_names,positions
1783590536599744935,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011925135926293962;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590536600245779,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011925135926293962;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590536656002734,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.0050941527502912365;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590536656515620,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.0050941527502912365;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590536758566798,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.0050941527502912365;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590536759303266,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011926592342503817;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590536827680381,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094138186129138;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590536858845577,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011928048758713672;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590536897332659,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094123621967039;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590536932879030,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011929505174923527;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537032465835,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094109057804941;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537032800746,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011930961591133382;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537083750923,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094094493642842;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537142646963,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011932418007343237;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
1783590537249827176,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,-0.005094079929480744;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.107063369339091;0.0;-16.34553337097168
1783590537299233514,0.0,,9,base_to_cylinder_joint;cylinder_to_arm1_joint;arm_link1_to_arm2_joint;arm_link2_to_arm3_joint;arm_link3_to_arm4_joint;arm_link4_to_armFork_joint;basket_link_to_armFork_joint;basket_crane_link_to_basket_link;winch_link_to_basket_crane_link,0.00011933874423553092;-0.015701148782882868;-0.052494933207829796;-0.052494933207829796;-0.052494933207829796;0.10070114967695254;0.0;0.0;0.0
