start_s,end_s,duration_s,statusjoy,state_name,sample_count,stable_enough
1783496558.1382494,1783496580.5343344,22.396085023880005,0,no_battery_power,3451,True
1783496580.5346394,1783496585.8554704,5.320831060409546,1,battery_on_engine_off,813,True
1783496585.8595607,1783496594.0487854,8.18922472000122,128,engine_on,1223,True
1783496594.0612628,1783496609.045439,14.98417615890503,0,no_battery_power,2052,True
1783496609.0495036,1783496619.8906827,10.841179132461548,1,battery_on_engine_off,1472,True
1783496619.8972044,1783496631.293817,11.396612644195557,0,no_battery_power,1563,True
1783496631.2998343,1783496639.851197,8.551362752914429,1,battery_on_engine_off,1166,True
1783496639.869152,1783496650.4111793,10.542027235031128,128,engine_on,1608,True
1783496650.4143791,1783496663.277671,12.86329197883606,0,no_battery_power,1971,True
1783496663.2896814,1783496687.0904913,23.800809860229492,1,battery_on_engine_off,3639,True
1783496687.0987155,1783496732.7886164,45.68990087509155,128,engine_on,6976,True
1783496732.7914312,1783496766.0748208,33.28338956832886,1,battery_on_engine_off,5063,True
1783496766.0805926,1783496774.6212366,8.54064393043518,128,engine_on,1164,True
1783496774.6214669,1783496791.3037715,16.682304620742798,0,no_battery_power,2288,True
1783496791.30945,1783496817.0630515,25.753601551055908,1,battery_on_engine_off,3534,True
1783496817.0782974,1783496835.182559,18.10426163673401,128,engine_on,2641,True
1783496835.1863277,1783496849.974029,14.78770136833191,0,no_battery_power,2280,True
1783496849.9779556,1783496854.544343,4.566387414932251,1,battery_on_engine_off,699,True
