time_ns,time_s,statusjoy,state_name
1783496558747483878,1783496558.747484,0,no_battery_power
1783496558760783552,1783496558.7607837,0,no_battery_power
1783496558760873892,1783496558.760874,0,no_battery_power
1783496558771934090,1783496558.7719343,0,no_battery_power
1783496558776214858,1783496558.7762148,0,no_battery_power
1783496558780274439,1783496558.7802744,0,no_battery_power
1783496558784445009,1783496558.7844448,0,no_battery_power
1783496558792570915,1783496558.7925708,0,no_battery_power
1783496558796505180,1783496558.796505,0,no_battery_power
1783496558805267633,1783496558.8052678,0,no_battery_power
1783496558817366978,1783496558.817367,0,no_battery_power
1783496558817592823,1783496558.8175929,0,no_battery_power
1783496558833930465,1783496558.8339305,0,no_battery_power
1783496558837812141,1783496558.8378122,0,no_battery_power
1783496558837882494,1783496558.8378823,0,no_battery_power
1783496558845992629,1783496558.8459928,0,no_battery_power
1783496558854166615,1783496558.8541665,0,no_battery_power
1783496558862256462,1783496558.8622563,0,no_battery_power
1783496558866390784,1783496558.8663907,0,no_battery_power
1783496558874734109,1783496558.8747342,0,no_battery_power
1783496558887116837,1783496558.887117,0,no_battery_power
1783496558891158374,1783496558.8911583,0,no_battery_power
1783496558895063204,1783496558.8950634,0,no_battery_power
1783496558899429503,1783496558.8994293,0,no_battery_power
1783496558908787748,1783496558.9087877,0,no_battery_power
1783496558915598618,1783496558.9155986,0,no_battery_power
1783496558915693125,1783496558.915693,0,no_battery_power
1783496558927774526,1783496558.9277744,0,no_battery_power
1783496558936420450,1783496558.9364204,0,no_battery_power
1783496558936614515,1783496558.9366145,0,no_battery_power
1783496558939960954,1783496558.9399607,0,no_battery_power
1783496558948483727,1783496558.948484,0,no_battery_power
1783496558948793229,1783496558.9487934,0,no_battery_power
1783496558952522118,1783496558.9525223,0,no_battery_power
1783496558964678670,1783496558.9646788,0,no_battery_power
1783496558972768878,1783496558.9727688,0,no_battery_power
1783496558985391207,1783496558.9853911,0,no_battery_power
1783496558992696327,1783496558.9926963,0,no_battery_power
1783496558993354366,1783496558.9933543,0,no_battery_power
1783496559000892505,1783496559.0008924,0,no_battery_power
1783496559001568076,1783496559.001568,0,no_battery_power
1783496559014819590,1783496559.0148196,0,no_battery_power
1783496559018818436,1783496559.0188186,0,no_battery_power
1783496559034179520,1783496559.0341797,0,no_battery_power
1783496559038611583,1783496559.0386114,0,no_battery_power
1783496559042515471,1783496559.0425155,0,no_battery_power
1783496559046269447,1783496559.0462694,0,no_battery_power
