event_time,sensor_id,raw_time,converted_time,delta_ms,matched,reason
1754904963.808,imu,1754904963.808,1754904963.808,0.11,1,matched
1754904963.815,imu,1754904963.815,1754904963.815,0.07,1,matched
1754904963.821,imu,1754904963.821,1754904963.821,0.05,1,matched
1754904963.828,imu,1754904963.828,1754904963.828,0.06,1,matched
1754904963.835,imu,1754904963.835,1754904963.835,0.06,1,matched
1754904963.841,imu,1754904963.841,1754904963.841,0.04,1,matched
1754904963.848,imu,1754904963.848,1754904963.848,0.08,1,matched
1754904963.855,imu,1754904963.855,1754904963.855,0.04,1,matched
1754904963.861,imu,1754904963.861,1754904963.861,0.04,1,matched
1754904963.868,imu,1754904963.868,1754904963.868,0.06,1,matched
1754904963.875,imu,1754904963.875,1754904963.875,0.04,1,matched
1754904963.881,imu,1754904963.881,1754904963.881,0.05,1,matched
1754904963.886,gps,1754904963.886,1754904963.886,0.06,1,matched
1754904963.888,imu,1754904963.888,1754904963.888,0.04,1,matched
1754904963.895,imu,1754904963.895,1754904963.895,0.04,1,matched
1754904963.901,imu,1754904963.901,1754904963.901,0.08,1,matched
1754904963.908,imu,1754904963.908,1754904963.908,0.06,1,matched
1754904963.915,imu,1754904963.914,1754904963.915,0.05,1,matched
1754904963.921,imu,1754904963.921,1754904963.921,0.05,1,matched
1754904963.928,imu,1754904963.928,1754904963.928,0.09,1,matched
1754904963.935,imu,1754904963.934,1754904963.934,0.05,1,matched
1754904963.941,imu,1754904963.941,1754904963.941,0.05,1,matched
1754904963.948,imu,1754904963.948,1754904963.948,0.05,1,matched
1754904963.955,imu,1754904963.955,1754904963.955,0.05,1,matched
1754904963.961,imu,1754904963.961,1754904963.961,0.07,1,matched
1754904963.968,imu,1754904963.968,1754904963.968,0.05,1,matched
1754904963.977,imu,1754904963.977,1754904963.977,0.05,1,matched
1754904963.981,imu,1754904963.981,1754904963.981,0.04,1,matched
1754904963.985,lidar,1754904963.985,1754904963.985,0.06,1,matched
1754904963.988,imu,1754904963.988,1754904963.988,0.05,1,matched
1754904963.994,imu,1754904963.994,1754904963.994,0.06,1,matched
1754904964.001,imu,1754904964.001,1754904964.001,0.07,1,matched
1754904964.008,imu,1754904964.008,1754904964.008,0.04,1,matched
1754904964.014,imu,1754904964.014,1754904964.014,0.05,1,matched
1754904964.021,imu,1754904964.021,1754904964.021,0.05,1,matched
1754904964.028,imu,1754904964.028,1754904964.028,0.09,1,matched
1754904964.034,imu,1754904964.034,1754904964.034,0.06,1,matched
1754904964.041,imu,1754904964.041,1754904964.041,0.05,1,matched
1754904964.048,imu,1754904964.048,1754904964.048,0.05,1,matched
1754904964.055,imu,1754904964.055,1754904964.055,0.09,1,matched
1754904964.062,imu,1754904964.062,1754904964.062,0.04,1,matched
1754904964.069,imu,1754904964.068,1754904964.068,0.04,1,matched
1754904964.075,imu,1754904964.075,1754904964.075,0.04,1,matched
1754904964.082,imu,1754904964.082,1754904964.082,0.06,1,matched
1754904964.088,gps,1754904964.088,1754904964.088,0.05,1,matched
1754904964.088,imu,1754904964.088,1754904964.088,0.03,1,matched
1754904964.095,imu,1754904964.095,1754904964.095,0.10,1,matched
1754904964.102,imu,1754904964.102,1754904964.102,0.08,1,matched
1754904964.108,imu,1754904964.108,1754904964.108,0.09,1,matched
1754904964.115,imu,1754904964.115,1754904964.115,0.05,1,matched
1754904964.122,imu,1754904964.122,1754904964.122,0.06,1,matched
1754904964.129,imu,1754904964.128,1754904964.129,0.07,1,matched
1754904964.135,imu,1754904964.135,1754904964.135,0.08,1,matched
1754904964.142,imu,1754904964.142,1754904964.142,0.08,1,matched
1754904964.148,imu,1754904964.148,1754904964.148,0.05,1,matched
1754904964.155,imu,1754904964.155,1754904964.155,0.05,1,matched
1754904964.162,imu,1754904964.162,1754904964.162,0.06,1,matched
1754904964.168,imu,1754904964.168,1754904964.168,0.04,1,matched
1754904964.175,imu,1754904964.175,1754904964.175,0.05,1,matched
1754904964.182,imu,1754904964.182,1754904964.182,0.08,1,matched
1754904964.188,imu,1754904964.188,1754904964.188,0.07,1,matched
1754904964.195,imu,1754904964.195,1754904964.195,0.10,1,matched
1754904964.202,imu,1754904964.202,1754904964.202,0.05,1,matched
1754904964.208,imu,1754904964.208,1754904964.208,0.06,1,matched
1754904964.215,imu,1754904964.215,1754904964.215,0.05,1,matched
1754904964.222,imu,1754904964.222,1754904964.222,0.05,1,matched
1754904964.228,imu,1754904964.228,1754904964.228,0.06,1,matched
1754904964.235,imu,1754904964.235,1754904964.235,0.06,1,matched
1754904964.242,imu,1754904964.242,1754904964.242,0.04,1,matched
1754904964.248,imu,1754904964.248,1754904964.248,0.07,1,matched
1754904964.255,imu,1754904964.255,1754904964.255,0.04,1,matched
1754904964.261,imu,1754904964.261,1754904964.261,0.05,1,matched
1754904964.268,gps,1754904964.268,1754904964.268,0.08,1,matched
1754904964.269,imu,1754904964.268,1754904964.268,0.03,1,matched
1754904964.275,imu,1754904964.275,1754904964.275,0.05,1,matched
1754904964.282,imu,1754904964.281,1754904964.281,0.05,1,matched
1754904964.284,lidar,1754904964.283,1754904964.284,0.04,1,matched
1754904964.288,imu,1754904964.288,1754904964.288,0.05,1,matched
1754904964.295,imu,1754904964.295,1754904964.295,0.10,1,matched
1754904964.302,imu,1754904964.302,1754904964.302,0.05,1,matched
1754904964.308,imu,1754904964.308,1754904964.308,0.09,1,matched
1754904964.315,imu,1754904964.315,1754904964.315,0.06,1,matched
1754904964.322,imu,1754904964.322,1754904964.322,0.12,1,matched
1754904964.328,imu,1754904964.328,1754904964.328,0.10,1,matched
1754904964.335,imu,1754904964.335,1754904964.335,0.11,1,matched
1754904964.342,imu,1754904964.342,1754904964.342,0.05,1,matched
1754904964.349,imu,1754904964.349,1754904964.349,0.08,1,matched
1754904964.355,imu,1754904964.355,1754904964.355,0.05,1,matched
1754904964.362,imu,1754904964.362,1754904964.362,0.05,1,matched
1754904964.368,imu,1754904964.368,1754904964.368,0.04,1,matched
1754904964.376,imu,1754904964.376,1754904964.376,0.05,1,matched
1754904964.382,imu,1754904964.382,1754904964.382,0.05,1,matched
1754904964.388,imu,1754904964.388,1754904964.388,0.04,1,matched
1754904964.395,imu,1754904964.395,1754904964.395,0.05,1,matched
1754904964.402,imu,1754904964.402,1754904964.402,0.05,1,matched
1754904964.408,imu,1754904964.408,1754904964.408,0.05,1,matched
1754904964.415,imu,1754904964.415,1754904964.415,0.09,1,matched
1754904964.422,imu,1754904964.422,1754904964.422,0.09,1,matched
1754904964.428,imu,1754904964.428,1754904964.428,0.07,1,matched
1754904964.435,imu,1754904964.435,1754904964.435,0.10,1,matched
1754904964.442,imu,1754904964.442,1754904964.442,0.05,1,matched
1754904964.448,imu,1754904964.448,1754904964.448,0.05,1,matched
1754904964.455,imu,1754904964.455,1754904964.455,0.07,1,matched
1754904964.462,imu,1754904964.462,1754904964.462,0.05,1,matched
1754904964.463,gps,1754904964.463,1754904964.463,0.03,1,matched
1754904964.470,imu,1754904964.470,1754904964.470,0.06,1,matched
1754904964.475,imu,1754904964.475,1754904964.475,0.04,1,matched
1754904964.481,imu,1754904964.481,1754904964.481,0.05,1,matched
1754904964.488,imu,1754904964.488,1754904964.488,0.05,1,matched
1754904964.495,imu,1754904964.495,1754904964.495,0.06,1,matched
1754904964.501,imu,1754904964.501,1754904964.501,0.07,1,matched
1754904964.508,imu,1754904964.508,1754904964.508,0.05,1,matched
1754904964.515,imu,1754904964.515,1754904964.515,0.05,1,matched
1754904964.522,imu,1754904964.522,1754904964.522,0.06,1,matched
1754904964.528,imu,1754904964.528,1754904964.528,0.08,1,matched
1754904964.535,imu,1754904964.535,1754904964.535,0.05,1,matched
1754904964.541,imu,1754904964.541,1754904964.541,0.06,1,matched
1754904964.548,imu,1754904964.548,1754904964.548,0.04,1,matched
1754904964.555,imu,1754904964.555,1754904964.555,0.04,1,matched
1754904964.561,imu,1754904964.561,1754904964.561,0.04,1,matched
1754904964.568,imu,1754904964.568,1754904964.568,0.05,1,matched
1754904964.575,imu,1754904964.575,1754904964.575,0.06,1,matched
1754904964.581,imu,1754904964.581,1754904964.581,0.05,1,matched
1754904964.588,imu,1754904964.588,1754904964.588,0.07,1,matched
1754904964.595,imu,1754904964.595,1754904964.595,0.08,1,matched
1754904964.599,lidar,1754904964.599,1754904964.599,0.06,1,matched
1754904964.601,imu,1754904964.601,1754904964.601,0.05,1,matched
1754904964.608,imu,1754904964.608,1754904964.608,0.09,1,matched
1754904964.615,imu,1754904964.614,1754904964.615,0.05,1,matched
1754904964.621,imu,1754904964.621,1754904964.621,0.07,1,matched
1754904964.628,imu,1754904964.628,1754904964.628,0.09,1,matched
1754904964.635,imu,1754904964.635,1754904964.635,0.11,1,matched
1754904964.641,imu,1754904964.641,1754904964.641,0.05,1,matched
1754904964.648,imu,1754904964.648,1754904964.648,0.06,1,matched
1754904964.655,imu,1754904964.655,1754904964.655,0.04,1,matched
