time_ns,time_s,channel_count,values,joints_0,joints_1,joints_2,joints_3
1783505085312762389,1783505085.3127623,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505085412571592,1783505085.4125717,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505085513372785,1783505085.5133727,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505085611897686,1783505085.6118977,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505085714126410,1783505085.7141263,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505085812583814,1783505085.812584,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505085911000662,1783505085.9110005,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086013383446,1783505086.0133834,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086111692390,1783505086.1116922,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086213999321,1783505086.2139993,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086312268991,1783505086.312269,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086414865908,1783505086.414866,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086512992638,1783505086.5129926,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086611415728,1783505086.6114159,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086713645122,1783505086.713645,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086812151769,1783505086.812152,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505086914251969,1783505086.914252,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087012740051,1783505087.0127401,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087114943025,1783505087.114943,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087213346947,1783505087.213347,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087315528230,1783505087.3155282,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087414271843,1783505087.4142718,4,"[2.0, 6.390909194946289, -0.4999999701976776, -2.0]",2.0,6.390909194946289,-0.4999999701976776,-2.0
1783505087512480437,1783505087.5124805,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087614642574,1783505087.6146426,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087712902755,1783505087.7129025,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087815123473,1783505087.8151236,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505087913746608,1783505087.9137466,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505088012146112,1783505088.0121462,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
1783505088114233718,1783505088.1142335,4,"[1.8999998569488525, 6.390909194946289, -0.4999999701976776, -2.0]",1.8999998569488525,6.390909194946289,-0.4999999701976776,-2.0
