time_ns,time_s,joint_count,base_to_cylinder_joint,cylinder_to_arm1_joint,arm_link1_to_arm2_joint,arm_link2_to_arm3_joint,arm_link3_to_arm4_joint,arm_link4_to_armFork_joint,basket_link_to_armFork_joint,basket_crane_link_to_basket_link,winch_link_to_basket_crane_link
1783505085312987003,1783505085.3129869,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.6787109375
1783505085413414020,1783505085.4134142,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
1783505085514654591,1783505085.5146544,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
1783505085612753209,1783505085.6127532,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
1783505085714924224,1783505085.7149243,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
1783505085813430741,1783505085.8134308,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678718566894531
1783505085912035062,1783505085.912035,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
1783505086014147076,1783505086.014147,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678718566894531
1783505086112595012,1783505086.1125948,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678718566894531
1783505086214829676,1783505086.2148297,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
1783505086313339328,1783505086.3133395,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678722381591797
1783505086415750496,1783505086.4157505,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678718566894531
1783505086513771366,1783505086.5137713,9,-0.008726645739822998,-0.03316125329117874,3.0268351236983904e-05,3.0268351236983904e-05,3.0268351236983904e-05,0.15306783833106533,0.00828682520594506,0.0,-6.678714752197266
