sample_time_ns,tf_time_ns,tf_age_ms,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw
1783419916519067822,,,base_link,winch_link,,,,,,,
1783419916619065307,,,base_link,winch_link,,,,,,,
1783419916719090782,,,base_link,winch_link,,,,,,,
1783419916819073207,,,base_link,winch_link,,,,,,,
1783419916919084431,,,base_link,winch_link,,,,,,,
1783419917019072671,,,base_link,winch_link,,,,,,,
1783419917119063104,,,base_link,winch_link,,,,,,,
1783419917219085305,,,base_link,winch_link,,,,,,,
1783419917319087720,,,base_link,winch_link,,,,,,,
1783419917419056245,,,base_link,winch_link,,,,,,,
1783419917519066906,,,base_link,winch_link,,,,,,,
1783419917619073597,,,base_link,winch_link,,,,,,,
1783419917719071478,,,base_link,winch_link,,,,,,,
1783419917819363658,,,base_link,winch_link,,,,,,,
1783419917919170770,,,base_link,winch_link,,,,,,,
1783419918019077590,,,base_link,winch_link,,,,,,,
1783419918119028440,,,base_link,winch_link,,,,,,,
1783419918219039039,,,base_link,winch_link,,,,,,,
