time_ns,joint_name,hardware_position,ros_position,error
1783419906419141065,arm_link4_to_armFork_joint,,,
1783419906519068914,base_to_cylinder_joint,,,
1783419906519068914,cylinder_to_arm1_joint,,,
1783419906519068914,arm_link1_to_arm2_joint,,,
1783419906519068914,arm_link2_to_arm3_joint,,,
1783419906519068914,arm_link3_to_arm4_joint,,,
1783419906519068914,arm_link4_to_armFork_joint,,,
1783419906619065235,base_to_cylinder_joint,,,
1783419906619065235,cylinder_to_arm1_joint,,,
1783419906619065235,arm_link1_to_arm2_joint,,,
1783419906619065235,arm_link2_to_arm3_joint,,,
1783419906619065235,arm_link3_to_arm4_joint,,,
1783419906619065235,arm_link4_to_armFork_joint,,,
1783419906719242494,base_to_cylinder_joint,,,
1783419906719242494,cylinder_to_arm1_joint,,,
1783419906719242494,arm_link1_to_arm2_joint,,,
1783419906719242494,arm_link2_to_arm3_joint,,,
1783419906719242494,arm_link3_to_arm4_joint,,,
1783419906719242494,arm_link4_to_armFork_joint,,,
1783419906819058253,base_to_cylinder_joint,,,
1783419906819058253,cylinder_to_arm1_joint,,,
1783419906819058253,arm_link1_to_arm2_joint,,,
1783419906819058253,arm_link2_to_arm3_joint,,,
1783419906819058253,arm_link3_to_arm4_joint,,,
1783419906819058253,arm_link4_to_armFork_joint,,,
1783419906919039773,base_to_cylinder_joint,,,
1783419906919039773,cylinder_to_arm1_joint,,,
1783419906919039773,arm_link1_to_arm2_joint,,,
1783419906919039773,arm_link2_to_arm3_joint,,,
1783419906919039773,arm_link3_to_arm4_joint,,,
1783419906919039773,arm_link4_to_armFork_joint,,,
1783419907019071620,base_to_cylinder_joint,,,
1783419907019071620,cylinder_to_arm1_joint,,,
1783419907019071620,arm_link1_to_arm2_joint,,,
1783419907019071620,arm_link2_to_arm3_joint,,,
1783419907019071620,arm_link3_to_arm4_joint,,,
1783419907019071620,arm_link4_to_armFork_joint,,,
1783419907119096642,base_to_cylinder_joint,,,
1783419907119096642,cylinder_to_arm1_joint,,,
1783419907119096642,arm_link1_to_arm2_joint,,,
1783419907119096642,arm_link2_to_arm3_joint,,,
1783419907119096642,arm_link3_to_arm4_joint,,,
1783419907119096642,arm_link4_to_armFork_joint,,,
1783419907219075706,base_to_cylinder_joint,,,
1783419907219075706,cylinder_to_arm1_joint,,,
1783419907219075706,arm_link1_to_arm2_joint,,,
